"coef","estimate","se","t_value","lower","upper","NA"
"村里中山區正義里",-45.7943189366856,15.7397976656772,-2.90946045872918,0.00362174678830527,-76.6443243766097,-14.9443134967615
"村里中山區民安里",9.87357549345224,17.7569830751035,0.556039021476327,0.578186074780755,-24.9301136072115,44.677264594116
"村里中山區永安里",-151.890245186776,18.2214519399014,-8.33579265185596,7.84497142504207e-17,-187.604293321911,-116.176197051642
"村里中山區成功里",-114.595160880375,15.5920367393792,-7.34959536049284,2.01110364706404e-13,-145.155554885837,-84.0347668749135
"村里中山區朱崙里",-95.5328428433246,17.6855143065797,-5.40175655552086,6.62202771252697e-08,-130.196453148531,-60.8692325381179
"村里中山區朱園里",-59.0377681540663,15.6268802041111,-3.77796254805453,0.000158256192529074,-89.6664553548638,-28.4090809532689
"村里中山區朱馥里",-59.0403378580398,18.7130476554449,-3.1550359377651,0.00160550754007546,-95.7179136585796,-22.3627620575
"村里中山區江山里",-148.456944723779,19.1513863590792,-7.75175968675492,9.1923769013644e-15,-185.993664439563,-110.920225007994
"村里中山區江寧里",-102.30927756134,17.5989284596107,-5.81338107011106,6.1505937725185e-09,-136.803179595402,-67.8153755272779
"村里中山區行仁里",-77.8783853556485,25.7376492500459,-3.02585463804585,0.0024802744717145,-128.324181180979,-27.4325895303175
"村里中山區行孝里",-55.8664242075483,25.0737230426754,-2.22808651561094,0.0258781210724228,-105.010924581429,-6.72192383366727
"村里中山區行政里",-181.10272015426,22.1029638537033,-8.19359436829176,2.58056565960102e-16,-224.424532137403,-137.780908171116
"村里中山區松江里",-117.077563309844,18.7933131904706,-6.22974576772391,4.70017010570684e-10,-153.912459569311,-80.2426670503775
"村里中山區金泰里",-124.448705851175,15.5188870692763,-8.01917723195199,1.08197394567982e-15,-154.86572649387,-94.0316852084802
"村里中山區恆安里",-81.1027155848494,15.3389202906939,-5.28738099213244,1.24475982418977e-07,-111.167001318481,-51.0384298512177
"村里中山區埤頭里",-28.1354216406453,23.9958871840018,-1.17251016496707,0.240996548901077,-75.1673635935288,18.8965203122382
"村里中山區康樂里",-57.4515075584509,15.8161636686797,-3.63245530091602,0.000280951000912024,-88.4511903740371,-26.4518247428647
"村里中山區復華里",-51.8329632108001,15.7548122048228,-3.28997658219838,0.00100248489194981,-82.7123971493718,-20.9535292722284
"村里中山區晴光里",-61.6773948639492,14.6592316580515,-4.20740979491058,2.58657114732451e-05,-90.40949079058,-32.9452989373184
"村里中山區集英里",-76.8899368385377,15.4534677250645,-4.97557818131831,6.52172781865254e-07,-107.178735558202,-46.6011381188739
"村里中山區圓山里",-135.020461876575,18.2775235279098,-7.38724049078085,1.51678955975765e-13,-170.844410331385,-99.1965134217648
"村里中山區新生里",-138.277577235862,18.8182902813875,-7.34804146222719,2.03459679109791e-13,-175.161428596724,-101.393725875001
"村里中山區新庄里",-72.2862152016436,21.8494734695709,-3.30837332544029,0.000938900774290888,-115.111185999433,-29.4612444038543
"村里中山區新喜里",-113.985460392095,21.4041047245289,-5.32540191982284,1.01060547768762e-07,-155.937508392581,-72.0334123916095
"村里中山區新福里",-80.1552538824356,18.9606890134054,-4.22744415172703,2.36680067475128e-05,-117.318206776284,-42.9923009885873
"村里中山區聚盛里",-84.6188933182413,16.0352484227057,-5.27705534006083,1.31692003038277e-07,-116.047982279768,-53.1898043567142
"村里中山區聚葉里",-111.892142714683,17.3758130016413,-6.43953423670671,1.2066555009495e-10,-145.948738422558,-77.8355470068066
"村里中山區劍潭里",-289.173835945481,66.5798915237515,-4.34326084539086,1.40593477219819e-05,-419.670431856386,-158.677240034576
"村里中山區興亞里",-37.5786307171967,15.7408237682115,-2.38733571193945,0.0169737985688083,-68.4306473182194,-6.7266141161739
